Domain,Feed,Title,Category,Status,Score,OG-Images,Content Type,Creative ID,Destination Domains,Channels,Rank,Original_Feed
https://nytimes.com/,https://rss.nytimes.com/services/xml/rss/nyt/World.xml,The New York Times World News,World News,Disabled,,,article,,www.nytimes.com,World News,43,
https://heraldo.es/,https://www.heraldo.es/rss,Heraldo,Top News,Disabled,,,article,,www.heraldo.es,Top News,44,
https://diezminutos.es/,https://www.diezminutos.es/rss/all,Diez Minutos,Entertainment,Disabled,,,article,,www.diezminutos.es,Entertainment,45,
https://alohacriticon.com/,https://www.alohacriticon.com/feed,AlohaCriticon,Entertainment,Disabled,,,article,,www.alohacriticon.com,Entertainment,46,
https://transfermarkt.es/,https://www.transfermarkt.es/rss/news,Transfermarkt,Sports,Disabled,,,article,,www.transfermarkt.es,Sports,47,
https://nationalgeographic.com.es/,https://www.nationalgeographic.com.es/feeds/rss,National Geographic,Culture,Disabled,,,article,,www.nationalgeographic.com.es,Culture,48,
https://libertaddigital.com/,https://www.libertaddigital.com/rss.xml,Libertad Digital,Top News,Disabled,,,article,,www.libremercado.com;www.libertaddigital.com,Top News,49,
https://definicion.de/,https://definicion.de/feed/,Definicion,Top News,Disabled,,,article,,definicion.de,Top News,50,
https://motor.es/,https://www.motor.es/feed/,Motor.es,Cars,Disabled,,,article,,www.motor.es,Cars,51,
https://esquire.com/,https://www.esquire.com/es/rss/all/,Esquire España,Culture,Disabled,,,article,,www.esquire.com,Culture,52,
https://hardzone.es/,https://hardzone.es/feed/,HardZone,Technology,Disabled,,,article,,hardzone.es,Technology,53,
https://businessinsider.es/,https://www.businessinsider.es/rss,Business Insider España,Business,Disabled,,,article,,www.businessinsider.es,Business,54,
https://digitaltrends.com/,https://es.digitaltrends.com/feed/,Digital Trends Español,Technology,Disabled,,,article,,es.digitaltrends.com,Technology,55,
https://cnn.com/,http://rss.cnn.com/rss/edition_europe.rss,CNN Europe Edition,World News,Disabled,,,article,,cnn.com,World News,56,
https://diariodesevilla.es/,https://www.diariodesevilla.es/rss/,Diario de Sevilla,Top News,Disabled,,,article,,www.diariodesevilla.es,Top News,57,
https://lasprovincias.es/,https://www.lasprovincias.es/rss/2.0/portada,Las Provincias,Top News,Disabled,,,article,,www.lasprovincias.es,Top News,58,
https://elcomercio.pe/,https://www.elcomercio.es/rss/2.0/portada,El Comercio,Top News,Disabled,,,article,,www.elcomercio.es,Top News,59,
https://autobild.es/,https://www.autobild.es/rss,Auto Bild España,Cars,Disabled,,,article,,www.autobild.es,Cars,60,
https://telecinco.es/,https://www.telecinco.es/rss.xml,Telecino,Entertainment,Disabled,,,article,,www.telecinco.es,Entertainment,61,
https://formulatv.com/,https://www.formulatv.com/xml/formulatv.xml,FormulaTV,Entertainment,Disabled,,,article,,www.formulatv.com,Entertainment,62,
https://infobae.com/america/,https://www.infobae.com/feeds/rss/,Infobae,Top News,Disabled,,,article,,www.infobae.com,Top News,63,
https://muycomputer.com/,https://www.muycomputer.com/feed/,MuyComputer,Technology,Disabled,,,article,,www.muycomputer.com,Technology,64,
https://lainformacion.com/,https://www.lainformacion.com/rss/,La Informacion,Top News,Disabled,,,article,,www.lainformacion.com,Top News,65,
https://hipertextual.com/,https://hipertextual.com/feed,Hipertextual,Technology,Disabled,,,article,,hipertextual.com,Technology,66,
https://ondacero.es/,https://www.ondacero.es/rss/8145.xml,Onda Cero,Top News,Disabled,,,article,,www.ondacero.es,Top News,67,
https://cope.es/,https://www.cope.es/api/es/news/rss.xml,Cope,Top News,Disabled,,,article,,www.cope.es,Top News,68,
https://compuhoy.com/,https://www.compuhoy.com/feed/,CompuHoy,Technology,Disabled,,,article,,www.compuhoy.com,Technology,69,
https://publico.es/,https://www.publico.es/rss,Público,Top News,Disabled,,,article,,www.publico.es;eldiariocantabria.publico.es;periodicoclm.publico.es;www.nortes.me,Top News,70,
